alpha1,alpha2,MAE,time_s
1.5,5.0,10.0,0.2508325830000331
1.5,5.0,10.0,0.2093032500000617
1.5,5.0,40.0,0.2069199170000502
1.5,5.0,35.0,0.2406462090000332
1.5,5.0,10.0,0.2347949580000659
1.5,5.0,25.0,0.2576719999999568
1.5,5.0,10.0,0.2279171669999868
1.5,5.0,10.0,0.2018864169999688
1.5,5.0,25.0,0.2617737090000673
1.5,5.0,10.0,0.2383314580000615
1.5,5.0,10.0,0.2258033339999201
1.5,5.0,10.0,0.2386562909999838
1.5,5.0,25.0,0.245768666999993
1.5,5.0,10.0,0.2275575830000207
1.5,5.0,20.0,0.3132564580000689
1.5,5.0,25.0,0.2294668329999467
1.5,5.0,15.0,0.2574719169999753
1.5,5.0,35.0,0.2222230830000171
1.5,5.0,35.0,0.2512739590000592
1.5,5.0,25.0,0.2670005830000264
1.5,5.0,10.0,0.2207558339999877
1.5,5.0,10.0,0.2494793330000675
1.5,5.0,10.0,0.2335087080000448
1.5,5.0,15.0,0.243425000000002
1.5,5.0,25.0,0.2665892499999245
1.5,5.0,50.0,0.2755140829999618
1.5,5.0,10.0,0.2440722079999204
1.5,5.0,25.0,0.260659583000006
1.5,5.0,10.0,0.2258790829999952
1.5,5.0,20.0,0.2266918340000074
1.5,5.0,15.0,0.2281966250000096
1.5,5.0,70.0,0.2526570410000204
1.5,5.0,10.0,0.2573846669999966
1.5,5.0,10.0,0.2213862500000232
1.5,5.0,10.0,0.2309091660000604
1.5,5.0,10.0,0.2660468750000291
1.5,5.0,15.0,0.2707849580000356
1.5,5.0,10.0,0.2752971250000655
1.5,5.0,10.0,0.253004207999993
1.5,5.0,10.0,0.2611770409999963
1.5,5.0,10.0,0.2370284160000437
1.5,5.0,35.0,0.2620212499999752
1.5,5.0,10.0,0.2352678340000693
1.5,5.0,15.0,0.2289362090000395
1.5,5.0,10.0,0.2618578340000113
1.5,5.0,10.0,0.2678849169999466
1.5,5.0,60.0,0.2484912080000185
1.5,5.0,70.0,0.2609585000000152
1.5,5.0,10.0,0.2539488340000844
1.5,5.0,10.0,0.2377397089999249
1.5,5.0,10.0,0.2489651669999375
1.5,5.0,10.0,0.3317230829999289
1.5,5.0,25.0,0.2517707079999809
1.5,5.0,40.0,0.210272375000045
1.5,5.0,10.0,0.2565913340000634
1.5,5.0,15.0,0.2630142499999692
1.5,5.0,10.0,0.3099469590000581
1.5,5.0,15.0,0.3000132920000169
1.5,5.0,10.0,0.2453163339999946
1.5,5.0,15.0,0.2590812079999978
1.5,5.0,15.0,0.2611153750000312
1.5,5.0,10.0,0.2512150830000337
1.5,5.0,15.0,0.2723137499999666
1.5,5.0,10.0,0.2620486660000551
1.5,5.0,35.0,0.2497939580000547
1.5,5.0,10.0,0.2737845830000651
1.5,5.0,10.0,0.3591508330000579
1.5,5.0,20.0,0.2436310839999578
1.5,5.0,20.0,0.2443234590000429
1.5,5.0,10.0,0.2717364159999533
1.5,5.0,20.0,0.2465630839999448
1.5,5.0,10.0,0.2647271659999433
1.5,5.0,10.0,0.2458700409999892
1.5,5.0,10.0,0.2614770410000346
1.5,5.0,10.0,0.2557524579999608
1.5,5.0,10.0,0.2590941669999438
1.5,5.0,15.0,0.2886127919999808
1.5,5.0,55.0,0.2655626250000296
1.5,5.0,30.0,0.266820750000079
1.5,5.0,30.0,0.2567679159999443
1.5,5.0,10.0,0.2424932080000417
1.5,5.0,10.0,0.332833542000003
1.5,5.0,35.0,0.3363578340000686
1.5,5.0,40.0,0.2707829580000407
1.5,5.0,10.0,0.2769764169999007
1.5,5.0,10.0,0.2566231669999297
1.5,5.0,45.0,0.2498861669999996
1.5,5.0,10.0,0.2756079999999201
1.5,5.0,10.0,0.2624390839999933
1.5,5.0,10.0,0.2426389580000432
1.5,5.0,20.0,0.2528300000000172
1.5,5.0,25.0,0.2573972499999399
1.5,5.0,35.0,0.2369590839999773
1.5,5.0,10.0,0.2816697089999707
1.5,5.0,10.0,0.2912305410000044
1.5,5.0,10.0,0.2993792089999942
1.5,5.0,10.0,0.2912674160000961
1.5,5.0,15.0,0.2478169160000334
1.5,5.0,35.0,0.2616591249999374
1.5,5.0,10.0,0.2556358330000421
1.5,5.0,25.0,0.2547170829999459
1.5,5.0,10.0,0.2749877499999229
1.5,5.0,10.0,0.2525939590000234
1.5,5.0,50.0,0.2749063330001036
1.5,5.0,10.0,0.2682186660000525
1.5,5.0,25.0,0.24906062499997
1.5,5.0,10.0,0.2885939160000816
1.5,5.0,10.0,0.3347759580000229
1.5,5.0,50.0,0.2523367909999479
1.5,5.0,20.0,0.3061801669999795
1.5,5.0,10.0,0.2631415419999712
1.5,5.0,85.0,0.2731875420000733
1.5,5.0,10.0,0.2581116249999695
1.5,5.0,10.0,0.2518704579999848
1.5,5.0,10.0,0.2916139170000633
1.5,5.0,30.0,0.2581750839999586
1.5,5.0,25.0,0.2540062090000674
1.5,5.0,10.0,0.2621297089999643
1.5,5.0,10.0,0.2736406660000057
1.5,5.0,10.0,0.2967296669999086
1.5,5.0,15.0,0.2718108340000071
1.5,5.0,35.0,0.2644373750000568
1.5,5.0,20.0,0.304061000000047
1.5,5.0,10.0,0.2810531249999712
1.5,5.0,10.0,0.2546104589999913
