family,dim,k,method,trial,k_hat,f1
gaussian,2,0,ecf_cos,0,0,1.0
gaussian,2,0,midast_ks,0,3,0.0
gaussian,2,0,midast_cvm,0,4,0.0
gaussian,2,0,edivisive,0,0,1.0
gaussian,2,0,ecf_cos,1,0,1.0
gaussian,2,0,midast_ks,1,3,0.0
gaussian,2,0,midast_cvm,1,2,0.0
gaussian,2,0,edivisive,1,0,1.0
gaussian,2,0,ecf_cos,2,0,1.0
gaussian,2,0,midast_ks,2,0,1.0
gaussian,2,0,midast_cvm,2,0,1.0
gaussian,2,0,edivisive,2,0,1.0
gaussian,2,0,ecf_cos,3,0,1.0
gaussian,2,0,midast_ks,3,2,0.0
gaussian,2,0,midast_cvm,3,2,0.0
gaussian,2,0,edivisive,3,0,1.0
gaussian,2,0,ecf_cos,4,0,1.0
gaussian,2,0,midast_ks,4,2,0.0
gaussian,2,0,midast_cvm,4,1,0.0
gaussian,2,0,edivisive,4,0,1.0
gaussian,2,0,ecf_cos,5,0,1.0
gaussian,2,0,midast_ks,5,2,0.0
gaussian,2,0,midast_cvm,5,2,0.0
gaussian,2,0,edivisive,5,0,1.0
gaussian,2,0,ecf_cos,6,0,1.0
gaussian,2,0,midast_ks,6,2,0.0
gaussian,2,0,midast_cvm,6,2,0.0
gaussian,2,0,edivisive,6,0,1.0
gaussian,2,0,ecf_cos,7,0,1.0
gaussian,2,0,midast_ks,7,2,0.0
gaussian,2,0,midast_cvm,7,3,0.0
gaussian,2,0,edivisive,7,0,1.0
gaussian,2,0,ecf_cos,8,0,1.0
gaussian,2,0,midast_ks,8,1,0.0
gaussian,2,0,midast_cvm,8,1,0.0
gaussian,2,0,edivisive,8,0,1.0
gaussian,2,0,ecf_cos,9,0,1.0
gaussian,2,0,midast_ks,9,0,1.0
gaussian,2,0,midast_cvm,9,0,1.0
gaussian,2,0,edivisive,9,0,1.0
gaussian,2,0,ecf_cos,10,0,1.0
gaussian,2,0,midast_ks,10,2,0.0
gaussian,2,0,midast_cvm,10,1,0.0
gaussian,2,0,edivisive,10,0,1.0
gaussian,2,0,ecf_cos,11,0,1.0
gaussian,2,0,midast_ks,11,1,0.0
gaussian,2,0,midast_cvm,11,0,1.0
gaussian,2,0,edivisive,11,0,1.0
gaussian,2,0,ecf_cos,12,0,1.0
gaussian,2,0,midast_ks,12,5,0.0
gaussian,2,0,midast_cvm,12,1,0.0
gaussian,2,0,edivisive,12,0,1.0
gaussian,2,0,ecf_cos,13,0,1.0
gaussian,2,0,midast_ks,13,2,0.0
gaussian,2,0,midast_cvm,13,2,0.0
gaussian,2,0,edivisive,13,0,1.0
gaussian,2,0,ecf_cos,14,0,1.0
gaussian,2,0,midast_ks,14,1,0.0
gaussian,2,0,midast_cvm,14,1,0.0
gaussian,2,0,edivisive,14,0,1.0
gaussian,2,0,ecf_cos,15,1,0.0
gaussian,2,0,midast_ks,15,1,0.0
gaussian,2,0,midast_cvm,15,1,0.0
gaussian,2,0,edivisive,15,0,1.0
gaussian,2,0,ecf_cos,16,0,1.0
gaussian,2,0,midast_ks,16,1,0.0
gaussian,2,0,midast_cvm,16,2,0.0
gaussian,2,0,edivisive,16,0,1.0
gaussian,2,0,ecf_cos,17,0,1.0
gaussian,2,0,midast_ks,17,2,0.0
gaussian,2,0,midast_cvm,17,0,1.0
gaussian,2,0,edivisive,17,0,1.0
gaussian,2,0,ecf_cos,18,0,1.0
gaussian,2,0,midast_ks,18,1,0.0
gaussian,2,0,midast_cvm,18,1,0.0
gaussian,2,0,edivisive,18,0,1.0
gaussian,2,0,ecf_cos,19,0,1.0
gaussian,2,0,midast_ks,19,1,0.0
gaussian,2,0,midast_cvm,19,2,0.0
gaussian,2,0,edivisive,19,0,1.0
gaussian,2,0,ecf_cos,20,0,1.0
gaussian,2,0,midast_ks,20,4,0.0
gaussian,2,0,midast_cvm,20,4,0.0
gaussian,2,0,edivisive,20,0,1.0
gaussian,2,0,ecf_cos,21,0,1.0
gaussian,2,0,midast_ks,21,0,1.0
gaussian,2,0,midast_cvm,21,0,1.0
gaussian,2,0,edivisive,21,0,1.0
gaussian,2,0,ecf_cos,22,0,1.0
gaussian,2,0,midast_ks,22,3,0.0
gaussian,2,0,midast_cvm,22,2,0.0
gaussian,2,0,edivisive,22,0,1.0
gaussian,2,0,ecf_cos,23,0,1.0
gaussian,2,0,midast_ks,23,2,0.0
gaussian,2,0,midast_cvm,23,4,0.0
gaussian,2,0,edivisive,23,0,1.0
gaussian,2,0,ecf_cos,24,0,1.0
gaussian,2,0,midast_ks,24,6,0.0
gaussian,2,0,midast_cvm,24,2,0.0
gaussian,2,0,edivisive,24,0,1.0
gaussian,2,0,ecf_cos,25,0,1.0
gaussian,2,0,midast_ks,25,0,1.0
gaussian,2,0,midast_cvm,25,1,0.0
gaussian,2,0,edivisive,25,0,1.0
gaussian,2,0,ecf_cos,26,0,1.0
gaussian,2,0,midast_ks,26,3,0.0
gaussian,2,0,midast_cvm,26,1,0.0
